########## TRIAL 1 ##########
--- Training Tanh model ---
Epoch 1/15 | Train Loss: 1.4783 | Test Loss: 1.1426 | Acc: 0.5942
Epoch 2/15 | Train Loss: 1.0631 | Test Loss: 0.9871 | Acc: 0.6563
Epoch 3/15 | Train Loss: 0.9427 | Test Loss: 0.9582 | Acc: 0.6641
Epoch 4/15 | Train Loss: 0.8687 | Test Loss: 0.9462 | Acc: 0.6805
Epoch 5/15 | Train Loss: 0.8165 | Test Loss: 0.8821 | Acc: 0.6976
Epoch 6/15 | Train Loss: 0.7669 | Test Loss: 0.8728 | Acc: 0.6993
Epoch 7/15 | Train Loss: 0.7320 | Test Loss: 0.8633 | Acc: 0.7017
Epoch 8/15 | Train Loss: 0.7136 | Test Loss: 0.8638 | Acc: 0.7054
Epoch 9/15 | Train Loss: 0.6801 | Test Loss: 0.8619 | Acc: 0.7159
Epoch 10/15 | Train Loss: 0.6580 | Test Loss: 0.8438 | Acc: 0.7129
Epoch 11/15 | Train Loss: 0.6344 | Test Loss: 0.8406 | Acc: 0.7174
Epoch 12/15 | Train Loss: 0.6098 | Test Loss: 0.8502 | Acc: 0.7160
Epoch 13/15 | Train Loss: 0.5958 | Test Loss: 0.8476 | Acc: 0.7191
Epoch 14/15 | Train Loss: 0.5808 | Test Loss: 0.8396 | Acc: 0.7275
Epoch 15/15 | Train Loss: 0.5710 | Test Loss: 0.8509 | Acc: 0.7190
--- Training ReLU model ---
Epoch 1/15 | Train Loss: 1.9295 | Test Loss: 1.4404 | Acc: 0.4661
Epoch 2/15 | Train Loss: 1.2625 | Test Loss: 1.1204 | Acc: 0.5937
Epoch 3/15 | Train Loss: 0.9219 | Test Loss: 0.8567 | Acc: 0.7008
Epoch 4/15 | Train Loss: 0.7175 | Test Loss: 0.7624 | Acc: 0.7391
Epoch 5/15 | Train Loss: 0.5765 | Test Loss: 0.7039 | Acc: 0.7610
Epoch 6/15 | Train Loss: 0.4639 | Test Loss: 0.7445 | Acc: 0.7537
Epoch 7/15 | Train Loss: 0.3732 | Test Loss: 0.7497 | Acc: 0.7710
Epoch 8/15 | Train Loss: 0.3048 | Test Loss: 0.8159 | Acc: 0.7594
Epoch 9/15 | Train Loss: 0.2730 | Test Loss: 1.0106 | Acc: 0.7474
Epoch 10/15 | Train Loss: 0.2422 | Test Loss: 0.9905 | Acc: 0.7512
Epoch 11/15 | Train Loss: 0.2363 | Test Loss: 1.0183 | Acc: 0.7525
Epoch 12/15 | Train Loss: 0.2244 | Test Loss: 1.0226 | Acc: 0.7372
Epoch 13/15 | Train Loss: 0.2157 | Test Loss: 1.0899 | Acc: 0.7456
Epoch 14/15 | Train Loss: 0.2089 | Test Loss: 1.1914 | Acc: 0.7251
Epoch 15/15 | Train Loss: 0.2194 | Test Loss: 1.1498 | Acc: 0.7455
--- Training GELU model ---
Epoch 1/15 | Train Loss: 2.3035 | Test Loss: 2.3031 | Acc: 0.1000
Epoch 2/15 | Train Loss: 2.0724 | Test Loss: 1.6308 | Acc: 0.4001
Epoch 3/15 | Train Loss: 1.3991 | Test Loss: 1.2007 | Acc: 0.5644
Epoch 4/15 | Train Loss: 1.0140 | Test Loss: 0.9169 | Acc: 0.6731
Epoch 5/15 | Train Loss: 0.7321 | Test Loss: 0.7888 | Acc: 0.7223
Epoch 6/15 | Train Loss: 0.5236 | Test Loss: 0.7949 | Acc: 0.7304
Epoch 7/15 | Train Loss: 0.3462 | Test Loss: 0.8474 | Acc: 0.7422
Epoch 8/15 | Train Loss: 0.2103 | Test Loss: 0.9458 | Acc: 0.7451
Epoch 9/15 | Train Loss: 0.1405 | Test Loss: 1.0211 | Acc: 0.7433
Epoch 10/15 | Train Loss: 0.1037 | Test Loss: 1.1183 | Acc: 0.7448
Epoch 11/15 | Train Loss: 0.0804 | Test Loss: 1.2180 | Acc: 0.7423
Epoch 12/15 | Train Loss: 0.0682 | Test Loss: 1.2238 | Acc: 0.7442
Epoch 13/15 | Train Loss: 0.0512 | Test Loss: 1.3575 | Acc: 0.7433
Epoch 14/15 | Train Loss: 0.0449 | Test Loss: 1.3864 | Acc: 0.7383
Epoch 15/15 | Train Loss: 0.0503 | Test Loss: 1.4122 | Acc: 0.7394
########## TRIAL 2 ##########
--- Training Tanh model ---
Epoch 1/15 | Train Loss: 1.5164 | Test Loss: 1.1605 | Acc: 0.5816
Epoch 2/15 | Train Loss: 1.0698 | Test Loss: 1.0184 | Acc: 0.6483
Epoch 3/15 | Train Loss: 0.9469 | Test Loss: 0.9569 | Acc: 0.6667
Epoch 4/15 | Train Loss: 0.8663 | Test Loss: 0.9237 | Acc: 0.6794
Epoch 5/15 | Train Loss: 0.8132 | Test Loss: 0.9076 | Acc: 0.6785
Epoch 6/15 | Train Loss: 0.7661 | Test Loss: 0.8875 | Acc: 0.7041
Epoch 7/15 | Train Loss: 0.7329 | Test Loss: 0.8749 | Acc: 0.7075
Epoch 8/15 | Train Loss: 0.7118 | Test Loss: 0.8432 | Acc: 0.7122
Epoch 9/15 | Train Loss: 0.6790 | Test Loss: 0.8460 | Acc: 0.7129
Epoch 10/15 | Train Loss: 0.6498 | Test Loss: 0.8188 | Acc: 0.7238
Epoch 11/15 | Train Loss: 0.6368 | Test Loss: 0.8251 | Acc: 0.7206
Epoch 12/15 | Train Loss: 0.6110 | Test Loss: 0.8149 | Acc: 0.7255
Epoch 13/15 | Train Loss: 0.5859 | Test Loss: 0.8306 | Acc: 0.7257
Epoch 14/15 | Train Loss: 0.5736 | Test Loss: 0.8581 | Acc: 0.7178
Epoch 15/15 | Train Loss: 0.5684 | Test Loss: 0.7961 | Acc: 0.7335
--- Training ReLU model ---
Epoch 1/15 | Train Loss: 1.8882 | Test Loss: 1.4365 | Acc: 0.4697
Epoch 2/15 | Train Loss: 1.1951 | Test Loss: 1.0309 | Acc: 0.6387
